,0,1,2,3,4
0,0,0,yoren,"Look at me Look at me! Do you remember me now, boy, eh? Remember me? Theres a bright boy Youll be coming with me, boy, and youll be keeping your mouth shut","['Sandor Clegane', 'Ilyn Payne', 'Eddard Stark', 'Arya Stark', 'Yoren', 'Sansa Stark', 'Lord Varys']"
1,0,1,yoren,"Keep your mouth shut, boy","['Sandor Clegane', 'Ilyn Payne', 'Eddard Stark', 'Arya Stark', 'Yoren', 'Sansa Stark', 'Lord Varys']"
2,1,2,arya,lm not a boy,"['Arya Stark', 'Yoren']"
3,1,3,yoren,"Youre not a smart boy, is that what youre trying to say? Do you want to live, boy?! North, boy, were going north -","['Arya Stark', 'Yoren']"
4,3,4,bran,"lt had three eyes lt told me to come with him, so l did We went down into the crypts and my father was there","['Bran Stark', 'Osha', 'Hodor']"
5,3,5,osha,"Your fathers not down there, little lord Not for many years yet","['Bran Stark', 'Osha', 'Hodor']"
6,3,6,bran,Youre afraid Just like Hodor,"['Bran Stark', 'Osha', 'Hodor']"
7,3,7,osha,lm not afraid of some hole in the ground,"['Bran Stark', 'Osha', 'Hodor']"
8,3,8,bran,Youve lived beyond the Wall What are you scared of? lm a crippled boy and lm willing to go,"['Bran Stark', 'Osha', 'Hodor']"
9,4,9,bran,"Thats my grandfather, Lord Rickard He was burned alive by the Mad King, Aerys Thats Lyanna, my fathers sister King Robert was supposed to marry her, but Rhaegar Targaryen kidnapped her Robert started a war to win her back He killed Rhaegar, but she died anyway Thats where l saw Father","['Bran Stark', 'Osha', 'Shaggydog', 'Rickon Stark']"
10,4,10,osha,You see? Hes not here,"['Bran Stark', 'Osha', 'Shaggydog', 'Rickon Stark']"
11,4,11,rickon,"Here, Shaggydog","['Bran Stark', 'Osha', 'Shaggydog', 'Rickon Stark']"
12,4,12,bran,Rickon,"['Bran Stark', 'Osha', 'Shaggydog', 'Rickon Stark']"
13,4,13,osha,That beast is supposed to be chained in the kennels,"['Bran Stark', 'Osha', 'Shaggydog', 'Rickon Stark']"
14,4,14,rickon,He doesnt like chains,"['Bran Stark', 'Osha', 'Shaggydog', 'Rickon Stark']"
15,4,15,bran,What are you doing down here? Come back up with us,"['Bran Stark', 'Osha', 'Shaggydog', 'Rickon Stark']"
16,4,16,rickon,"No, l came to see Father","['Bran Stark', 'Osha', 'Shaggydog', 'Rickon Stark']"
17,4,17,bran,How many times have l told you? Hes in Kings Landing with Sansa and Arya,"['Bran Stark', 'Osha', 'Shaggydog', 'Rickon Stark']"
18,4,18,rickon,He was down here l saw him,"['Bran Stark', 'Osha', 'Shaggydog', 'Rickon Stark']"
19,4,19,bran,Saw him when?,"['Bran Stark', 'Osha', 'Shaggydog', 'Rickon Stark']"
20,4,20,rickon,"Last night, when l was sleeping Here, Shaggydog","['Bran Stark', 'Osha', 'Shaggydog', 'Rickon Stark']"
21,5,21,osha,"You both miss him lts only natural he should be in your thoughts and dreams, but that doesnt mean that","['Bran Stark', 'Osha', 'Maester Luwin']"
22,9,22,maester luwin,Bran -,"['Robb Stark', 'Catelyn Stark', 'Rodrik Cassel', 'Theon Greyjoy', 'Greatjon Umber', 'Rickard Karstark', 'Jonos Bracken']"
