1,1,0,0:00:40,0:01:45,"[{'name': 'Gared'}, {'name': 'Waymar Royce'}, {'name': 'Will'}]"
1,1,1,0:01:45,0:03:24,"[{'name': 'Gared'}, {'name': 'Waymar Royce'}, {'name': 'Will'}]"
1,1,2,0:03:24,0:03:31,"[{'name': 'Will'}, {'name': 'Wight Wildling Girl', 'alive': False}]"
1,1,3,0:03:31,0:03:38,[{'name': 'Will'}]
1,1,4,0:03:38,0:03:44,[]
1,1,5,0:03:44,0:05:36,"[{'name': 'Gared'}, {'name': 'Waymar Royce'}, {'name': 'Will'}]"
1,1,6,0:05:36,0:05:41,[{'name': 'Will'}]
1,1,7,0:05:41,0:05:48,"[{'name': 'Gared'}, {'name': 'Waymar Royce'}]"
1,1,8,0:05:48,0:05:58,[{'name': 'Will'}]
1,1,9,0:05:58,0:06:21,"[{'name': 'Gared'}, {'name': 'Waymar Royce', 'alive': False, 'mannerOfDeath': 'Back stab', 'killedBy': ['White Walker']}, {'name': 'White Walker'}]"
1,1,10,0:06:21,0:06:39,[{'name': 'Will'}]
1,1,11,0:06:39,0:06:49,"[{'name': 'Will'}, {'name': 'Wight Wildling Girl'}]"
1,1,12,0:06:49,0:07:45,"[{'name': 'Will'}, {'name': 'Gared', 'alive': False, 'mannerOfDeath': 'Decapitation', 'killedBy': ['White Walker']}, {'name': 'White Walker'}]"
1,1,13,0:09:27,0:12:38,"[{'name': 'Will'}, {'name': 'Jon Snow'}, {'name': 'Bran Stark'}, {'name': 'Robb Stark'}, {'name': 'Eddard Stark'}, {'name': 'Catelyn Stark'}, {'name': 'Rickon Stark'}, {'name': 'Sansa Stark'}, {'name': 'Arya Stark'}, {'name': 'Theon Greyjoy'}, {'name': 'Rodrik Cassel'}, {'name': 'Septa Mordane'}]"
1,1,14,0:12:38,0:15:41,"[{'name': 'Will', 'alive': False, 'mannerOfDeath': 'Decapitation', 'killedBy': ['Eddard Stark']}, {'name': 'Eddard Stark', 'weapon': [{'action': 'has', 'name': 'Ice'}]}, {'name': 'Robb Stark'}, {'name': 'Theon Greyjoy'}, {'name': 'Bran Stark'}, {'name': 'Rodrik Cassel'}, {'name': 'Jory Cassel'}, {'name': 'Jon Snow'}]"
1,1,15,0:15:41,0:18:44,"[{'name': 'Jon Snow'}, {'name': 'Eddard Stark', 'weapon': [{'action': 'has', 'name': 'Ice'}]}, {'name': 'Theon Greyjoy'}, {'name': 'Bran Stark'}, {'name': 'Robb Stark'}, {'name': 'Rodrik Cassel'}, {'name': 'Jory Cassel'}, {'name': 'Grey Wind'}, {'name': 'Lady'}, {'name': 'Nymeria'}, {'name': 'Summer'}, {'name': 'Shaggydog'}, {'name': 'Ghost'}]"
1,1,16,0:18:44,0:20:45,"[{'name': 'Jon Arryn', 'alive': False, 'title': 'Hand', 'mannerOfDeath': 'Poison', 'killedBy': ['Lysa Arryn']}, {'name': 'Cersei Lannister'}, {'name': 'Jaime Lannister'}]"
1,1,17,0:20:45,0:22:43,"[{'name': 'Catelyn Stark'}, {'name': 'Eddard Stark', 'weapon': [{'action': 'has', 'name': 'Ice'}]}]"
1,1,18,0:22:43,0:23:09,"[{'name': 'Catelyn Stark'}, {'name': 'Maester Luwin'}]"
1,1,19,0:23:09,0:23:39,"[{'name': 'Robb Stark'}, {'name': 'Theon Greyjoy'}, {'name': 'Jon Snow'}]"
