,0,1,2,3,4
0,0,0,sandor,"Ill give you one try, girl","['Arya Stark', 'Sandor Clegane']"
1,0,1,sandor,"Kill me and youre free But if I live, Ill break both your hands Go on, hit me Hit me hard","['Arya Stark', 'Sandor Clegane']"
2,1,2,sandor,"Sulk all you want The truth is, youre lucky You dont want to be alone out here, girl Someone worse than me would find you","['Arya Stark', 'Sandor Clegane']"
3,1,3,arya,Theres no one worse than you,"['Arya Stark', 'Sandor Clegane']"
4,1,4,sandor,"Ha, you never knew my brother He once killed a man for snoring Theres plenty worse than me Theres men who like to beat little girls, men who like to rape them I saved your sister from some of them","['Arya Stark', 'Sandor Clegane']"
5,1,5,arya,Youre lying,"['Arya Stark', 'Sandor Clegane']"
6,1,6,sandor,"Ask her, if you ever see her again Ask her who came back for her when the mob had her on her back They would have taken her every which way and left her there with her throat cut open","['Arya Stark', 'Sandor Clegane']"
7,1,7,arya,Is that the Blackwater?,"['Arya Stark', 'Sandor Clegane']"
8,1,8,sandor,The Blackwater? Where do you think Im taking you?,"['Arya Stark', 'Sandor Clegane']"
9,1,9,arya,Back to Kings Landing to Joffrey and the queen,"['Arya Stark', 'Sandor Clegane']"
10,1,10,sandor,Fuck Joffrey Fuck the queen Thats the Red Fork Im taking you to the Twins,"['Arya Stark', 'Sandor Clegane']"
11,1,11,arya,But why?,"['Arya Stark', 'Sandor Clegane']"
12,1,12,sandor,Because your mother and brother will be there and theyll pay me for you,"['Arya Stark', 'Sandor Clegane']"
13,1,13,arya,Why would they be at the Twins?,"['Arya Stark', 'Sandor Clegane']"
14,1,14,sandor,Those outlaws you love so much never told you? The whole countryside is yapping about it Your uncle is marrying one of the Frey girls So quit trying to bash my skull in and we might just make it there in time for the wedding,"['Arya Stark', 'Sandor Clegane']"
15,3,15,barristan,Men who fight for gold have neither honor nor loyalty They cannot be trusted,"['Daenerys Targaryen', 'Jorah Mormont', 'Barristan Selmy', 'Grey Worm']"
16,3,16,jorah,They can be trusted to kill you if theyre well paid The Yunkish are paying them well,"['Daenerys Targaryen', 'Jorah Mormont', 'Barristan Selmy', 'Grey Worm']"
17,3,17,daenerys,You know these men?,"['Daenerys Targaryen', 'Jorah Mormont', 'Barristan Selmy', 'Grey Worm']"
18,3,18,jorah,"Only by the broken swords on their banners Theyre called the Second Sons A company led by a Braavosi named Mero, The Titans Bastard","['Daenerys Targaryen', 'Jorah Mormont', 'Barristan Selmy', 'Grey Worm']"
19,3,19,daenerys,Is he more titan or bastard?,"['Daenerys Targaryen', 'Jorah Mormont', 'Barristan Selmy', 'Grey Worm']"
20,3,20,jorah,"Hes a dangerous man, khaleesi They all are","['Daenerys Targaryen', 'Jorah Mormont', 'Barristan Selmy', 'Grey Worm']"
21,3,21,daenerys,How many?,"['Daenerys Targaryen', 'Jorah Mormont', 'Barristan Selmy', 'Grey Worm']"
22,3,22,barristan,"2,000, Your Grace Armored and mounted","['Daenerys Targaryen', 'Jorah Mormont', 'Barristan Selmy', 'Grey Worm']"
23,3,23,daenerys,Enough to make a difference?,"['Daenerys Targaryen', 'Jorah Mormont', 'Barristan Selmy', 'Grey Worm']"
24,3,24,daenerys,Its hard to collect wages from a corpse Im sure the sellswords prefer to fight for the winning side,"['Daenerys Targaryen', 'Jorah Mormont', 'Barristan Selmy', 'Grey Worm']"
25,3,25,jorah,I imagine youre right,"['Daenerys Targaryen', 'Jorah Mormont', 'Barristan Selmy', 'Grey Worm']"
26,3,26,daenerys,Id like to talk to the Titans Bastard about winning,"['Daenerys Targaryen', 'Jorah Mormont', 'Barristan Selmy', 'Grey Worm']"
27,3,27,jorah,He may not agree to meet,"['Daenerys Targaryen', 'Jorah Mormont', 'Barristan Selmy', 'Grey Worm']"
28,3,28,daenerys,He will A man who fights for gold cant afford to lose to a girl,"['Daenerys Targaryen', 'Jorah Mormont', 'Barristan Selmy', 'Grey Worm']"
29,4,29,barristan,"Your Grace, allow me to present the captains of the Second Sons Mero of Braavos, Prendahl na Ghezn, and-","['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
30,4,30,daario,Daario Naharis,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
31,4,31,mero,You are the Mother of Dragons? I swear I fucked you once in a pleasure house in Lys,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
32,4,32,jorah,Mind your tongue,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
33,4,33,mero,Why? I didnt mind hers She licked my ass like she was born to do it,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
34,4,34,mero,"You, slave girl, bring wine","['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
35,4,35,daenerys,We have no slaves here,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
36,4,36,mero,Youll all be slaves after the battle unless I save you Take your clothes off and come and sit on Meros lap and I may give you my Second Sons,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
37,4,37,daenerys,"Give me your Second Sons and I may not have you gelded Ser Barristan, how many men fight for the Second Sons?","['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
38,4,38,barristan,"Under 2,000, Your Grace","['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
39,4,39,daenerys,"We have more, dont we?","['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
40,4,40,barristan,"10,000 Unsullied","['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
41,4,41,daenerys,"Im only a young girl, new to the ways of war, but perhaps a seasoned captain like yourself can explain to me how you propose to defeat us","['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
42,4,42,daario,"I hope the old man is better with a sword than he is with a lie You have 8,000 Unsullied","['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
43,4,43,daenerys,Youre very young to be a captain,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
44,4,44,prendahl,Hes not a captain Hes a lieutenant,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
45,4,45,daenerys,"Even if your numbers are right, you must admit the odds dont favor your side","['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
46,4,46,mero,The Second Sons have faced worse odds and won,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
47,4,47,jorah,The Second Sons have faced worse odds and run,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
48,4,48,daenerys,Or you could fight for me,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
49,4,49,mero,Weve taken the slavers gold We fight for Yunkai,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
50,4,50,daenerys,I would pay you as much and more,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
51,4,51,prendahl,"Our contract is our bond If we break our bond, no one will hire the Second Sons again","['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
52,4,52,daenerys,Ride with me and youll never need another contract Youll have gold and castles and lordships of your choosing when I take back the Seven Kingdoms,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
53,4,53,daario,You have no ships You have no siege weapons You have no cavalry,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
54,4,54,daenerys,"A fortnight ago, I had no army A year ago, I had no dragons You have two days to decide","['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
55,4,55,mero,Show me your cunt I want to see if its worth fighting for,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
56,4,56,daenerys,These men are our guests You seem to be enjoying my wine Perhaps youd like a flagon to help you ponder,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
57,4,57,mero,Only a flagon? And what are my brothers in arms to drink?,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
58,4,58,daenerys,"A barrel, then","['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
59,4,59,mero,"Good The Titans Bastard does not drink alone In the Second Sons, we share everything After the battle, maybe well all share you","['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
60,4,60,mero,Ill come looking for you when this is over,"['Barristan Selmy', 'Missandei', 'Mero', 'Prendahl na Ghezn', 'Daario Naharis', 'Daenerys Targaryen', 'Jorah Mormont', 'Grey Worm']"
61,6,61,barristan,"Gladly, Your Grace","['Gendry', 'Melisandre']"
62,7,62,stannis,"Half Robert, half lowborn","['Stannis Baratheon', 'Gendry', 'Melisandre']"
63,7,63,melisandre,Show the boy to his chambers Have the maids draw him a bath and find him some decent clothes Ill come visit you soon,"['Stannis Baratheon', 'Gendry', 'Melisandre']"
64,8,64,stannis,What do you mean to do with him?,"['Stannis Baratheon', 'Melisandre']"
65,8,65,melisandre,You know what I mean to do with him,"['Stannis Baratheon', 'Melisandre']"
66,8,66,stannis,"Then why bathe him and dress him in fine clothes? If it needs to be done, do it Dont torture the boy","['Stannis Baratheon', 'Melisandre']"
67,8,67,melisandre,"Have you ever slaughtered a lamb, my king?","['Stannis Baratheon', 'Melisandre']"
68,8,68,stannis,No,"['Stannis Baratheon', 'Melisandre']"
69,8,69,melisandre,"If the lamb sees the knife, she panics Her panic seeps into her meat, darkens it, fouls the flavor","['Stannis Baratheon', 'Melisandre']"
70,8,70,stannis,Youve slaughtered many lambs?,"['Stannis Baratheon', 'Melisandre']"
71,8,71,melisandre,And none have seen the blade,"['Stannis Baratheon', 'Melisandre']"
72,9,72,davos,"And tho and thowg V-v-visenya Targaryen rod rode Vhagar Vhag Fuck me Visenya Targaryen rode Vhagar, the smallest of the dragons, though still large enog enough enough to swallow a horse whole",['Davos Seaworth']
73,10,73,davos,Your Grace,"['Davos Seaworth', 'Stannis Baratheon']"
